source,policy_text,domain,stakeholders,agree_pct,neutral_pct,disagree_pct,support_score,consensus_score,word_count,year,is_privacy,is_employment,is_economic,is_legal,is_tech,is_social,description,policy_type,country,policy_density_context,economic_pressure_context,education_readiness_context,support_bucket,domain_encoded,stakeholder_encoded,estimated_support_bucket,support_probability
OECD,National AI programme of Slovenia,Other,Government,0.0,0.0,0.0,0.0,0.0,5,2021.0,0,0,0,0,1,0,"On 27 May 2021, the Slovenian government adopted its National AI programme.",Unknown,Slovenia,0.5418641390205371,0.5,0.5,,3,2,Medium,0.8266666666666665
OECD,National AI programme of Slovenia,Other,Government,0.0,0.0,0.0,0.0,0.0,5,2021.0,0,0,0,0,1,0,"On 27 May 2021, the Slovenian government adopted its National AI programme.",Unknown,Slovenia,0.5418641390205371,0.5,0.5,,3,2,Medium,0.8266666666666665
OECD,National AI programme of Slovenia,Other,Government,0.0,0.0,0.0,0.0,0.0,5,2021.0,0,0,0,0,1,0,"On 27 May 2021, the Slovenian government adopted its National AI programme.",Unknown,Slovenia,0.5418641390205371,0.5,0.5,,3,2,Medium,0.8266666666666665
OECD,National AI programme of Slovenia,Other,Government,0.0,0.0,0.0,0.0,0.0,5,2021.0,0,0,0,0,1,0,"On 27 May 2021, the Slovenian government adopted its National AI programme.",Unknown,Slovenia,0.5418641390205371,0.5,0.5,,3,2,Medium,0.8266666666666665
OECD,National AI programme of Slovenia,Other,Government,0.0,0.0,0.0,0.0,0.0,5,2021.0,0,0,0,0,1,0,"On 27 May 2021, the Slovenian government adopted its National AI programme.",Unknown,Slovenia,0.5418641390205371,0.5,0.5,,3,2,Medium,0.8266666666666665
OECD,National AI programme of Slovenia,Other,Government,0.0,0.0,0.0,0.0,0.0,5,2021.0,0,0,0,0,1,0,"On 27 May 2021, the Slovenian government adopted its National AI programme.",Unknown,Slovenia,0.5418641390205371,0.5,0.5,,3,2,Medium,0.8266666666666665
OECD,National AI programme of Slovenia,Other,Government,0.0,0.0,0.0,0.0,0.0,5,2021.0,0,0,0,0,1,0,"On 27 May 2021, the Slovenian government adopted its National AI programme.",Unknown,Slovenia,0.5418641390205371,0.5,0.5,,3,2,Medium,0.8266666666666665
OECD,National AI programme of Slovenia,Other,Government,0.0,0.0,0.0,0.0,0.0,5,2021.0,0,0,0,0,1,0,"On 27 May 2021, the Slovenian government adopted its National AI programme.",Unknown,Slovenia,0.5418641390205371,0.5,0.5,,3,2,Medium,0.8266666666666665
OECD,National AI programme of Slovenia,Other,Government,0.0,0.0,0.0,0.0,0.0,5,2021.0,0,0,0,0,1,0,"On 27 May 2021, the Slovenian government adopted its National AI programme.",Unknown,Slovenia,0.5418641390205371,0.5,0.5,,3,2,Medium,0.8266666666666665
OECD,JOINT R&D PROJECT,Other,Business,0.0,0.0,0.0,0.0,0.0,3,2017.0,0,0,0,1,1,0,"The Joint R&D project call (previously known as Team-up) involves an active participation of both academic units and industrial teams with an aim of strengthening knowledge, transferring IP from academic research to the industry and turning it into prototypes that lead to new business opportunities.",Unknown,Belgium,0.5418641390205371,0.5,0.5,,3,0,High,0.7111666666666666
OECD,JOINT R&D PROJECT,Other,Business,0.0,0.0,0.0,0.0,0.0,3,2017.0,0,0,0,1,1,0,"The Joint R&D project call (previously known as Team-up) involves an active participation of both academic units and industrial teams with an aim of strengthening knowledge, transferring IP from academic research to the industry and turning it into prototypes that lead to new business opportunities.",Unknown,Belgium,0.5418641390205371,0.5,0.5,,3,0,High,0.7111666666666666
OECD,PROSPECTIVE RESEARCH PROGRAMME,Technology,Education,0.0,0.0,0.0,0.0,0.0,3,2017.0,0,0,0,0,0,0,"Through its Prospective Researchprogramme, Innoviris is financing projects led by academic researchers at a Brussels university or college which focus on the future and cover areas of importance to the Brussels Capital Region.",Unknown,Belgium,0.09320695102685624,0.7,0.8,,5,-1,Medium,0.612
OECD,PLAN NEXT TECH BRUSSELS,Technology,General Public,0.0,0.0,0.0,0.0,0.0,4,2017.0,0,0,0,0,1,0,This plan aims to boost ICT entrepreneurship in the Brussels capital region.,Unknown,Belgium,0.09320695102685624,0.7,0.8,,5,1,Medium,0.83
OECD,PLAN NEXT TECH BRUSSELS,Technology,General Public,0.0,0.0,0.0,0.0,0.0,4,2017.0,0,0,0,0,1,0,This plan aims to boost ICT entrepreneurship in the Brussels capital region.,Unknown,Belgium,0.09320695102685624,0.7,0.8,,5,1,Medium,0.83
OECD,PAN-CANADIAN AI STRATEGY,Other,Government,0.0,0.0,0.0,0.0,0.0,3,2017.0,0,0,1,1,1,0,"The Government of Canada is providing the Canadian Institute for Advanced Research (CIFAR) with a contribution of $125 million (in Canadian dollars) to launch a Pan-Canadian Artificial Intelligence Strategy to retain and attract top academic talent, and to increase the number of post-graduate trainees and researchers studying AI.<br/><br/>Strategy focused on investments in talent, research capacity, commercialization and standardization of (generative) AI.",Unknown,Canada,0.5418641390205371,0.5,0.5,,3,2,High,0.5531666666666667
OECD,PAN-CANADIAN AI STRATEGY,Other,Government,0.0,0.0,0.0,0.0,0.0,3,2017.0,0,0,1,1,1,0,"The Government of Canada is providing the Canadian Institute for Advanced Research (CIFAR) with a contribution of $125 million (in Canadian dollars) to launch a Pan-Canadian Artificial Intelligence Strategy to retain and attract top academic talent, and to increase the number of post-graduate trainees and researchers studying AI.<br/><br/>Strategy focused on investments in talent, research capacity, commercialization and standardization of (generative) AI.",Unknown,Canada,0.5418641390205371,0.5,0.5,,3,2,High,0.5531666666666667
OECD,AUSTRIAN COUNCIL FOR ROBOTICS AND AI,Other,General Public,0.0,0.0,0.0,0.0,0.0,6,2017.0,0,0,0,0,1,0,"ACRAI was established by the Minister of the Federal Ministry for Transport, Innovation and Technology.",Unknown,Austria,0.5418641390205371,0.5,0.5,,3,1,Medium,0.7865000000000001
OECD,AUSTRIAN COUNCIL FOR ROBOTICS AND AI,Other,General Public,0.0,0.0,0.0,0.0,0.0,6,2017.0,0,0,0,0,1,0,"ACRAI was established by the Minister of the Federal Ministry for Transport, Innovation and Technology.",Unknown,Austria,0.5418641390205371,0.5,0.5,,3,1,Medium,0.7865000000000001
OECD,KNOWLEDGE AND INNOVATION AGENDA ICT,Other,General Public,0.0,0.0,0.0,0.0,0.0,5,2016.0,1,1,0,0,1,0,"The national agenda for ICT knowledge and innovation (2016-2019) is the framework for PPP-programmes for high end solutions, based on digital technologies 1) big data, 2) artificial intelligence, 3) blockchain, 4) cyber security and 5) Communication technologies (5G).",Unknown,Netherlands,0.5418641390205371,0.5,0.5,,3,1,High,0.5686666666666667
OECD,KNOWLEDGE AND INNOVATION AGENDA ICT,Other,General Public,0.0,0.0,0.0,0.0,0.0,5,2016.0,1,1,0,0,1,0,"The national agenda for ICT knowledge and innovation (2016-2019) is the framework for PPP-programmes for high end solutions, based on digital technologies 1) big data, 2) artificial intelligence, 3) blockchain, 4) cyber security and 5) Communication technologies (5G).",Unknown,Netherlands,0.5418641390205371,0.5,0.5,,3,1,High,0.5686666666666667
OECD,INNOVATION SUPERCLUSTERS INITIATIVE,Other,Business,0.0,0.0,0.0,0.0,0.0,3,2017.0,0,0,1,0,1,0,"The Innovation Superclusters Initiative (ISI) invites industry-led consortia to lead and to invest in bold and ambitious proposals that will supercharge regional innovation ecosystems. The program supports new partnerships between large firms, SMEs, and industry-relevant research institutions, promoting the development of globally competitive technology. A small number of high-value, strategic investments will be made to build on shared private sector commitment, demonstrated through matched ind",Unknown,Canada,0.5418641390205371,0.5,0.5,,3,0,High,0.6085
OECD,NATIONAL COMMITTEE OF ETHICS IN SCIENCE AND TECHNOLOGY,Technology,General Public,0.0,0.0,0.0,0.0,0.0,8,2001.0,0,0,0,0,1,0,The CECTE is a pluralistic and independent space for the critical and interdisciplinary analysis of topics related to the ethics of research in all areas of science and new technologies.,Unknown,Argentina,0.09320695102685624,0.7,0.8,,5,1,Medium,0.79
OECD,NEXT GENERATION TECHNOLOGIES FUND,Economic,"Labor, Business, General Public, Government",0.0,0.0,0.0,0.0,0.0,4,2016.0,0,1,1,0,1,1,"The Next Generation Technologies Fund, managed by the Defence Science and Technology (DST) Group, is a AUD 730 million government initiative introduced with the Defence Industry Policy Statement in 2016 to foster innovation through closer collaboration between Defence, academia, industry and publically funded research organisations to jointly develop leap-ahead innovation and commercialisation opportunities. <br/><br/>The NGTF uses a number of collaboration mechanisms to deliver on its objective",Unknown,Australia,0.04265402843601896,0.85,0.75,,0,-1,Medium,0.705
OECD,NEXT GENERATION TECHNOLOGIES FUND,Economic,"Labor, Business, General Public, Government",0.0,0.0,0.0,0.0,0.0,4,2016.0,0,1,1,0,1,1,"The Next Generation Technologies Fund, managed by the Defence Science and Technology (DST) Group, is a AUD 730 million government initiative introduced with the Defence Industry Policy Statement in 2016 to foster innovation through closer collaboration between Defence, academia, industry and publically funded research organisations to jointly develop leap-ahead innovation and commercialisation opportunities. <br/><br/>The NGTF uses a number of collaboration mechanisms to deliver on its objective",Unknown,Australia,0.04265402843601896,0.85,0.75,,0,-1,Medium,0.705
OECD,NEXT GENERATION TECHNOLOGIES FUND,Economic,"Labor, Business, General Public, Government",0.0,0.0,0.0,0.0,0.0,4,2016.0,0,1,1,0,1,1,"The Next Generation Technologies Fund, managed by the Defence Science and Technology (DST) Group, is a AUD 730 million government initiative introduced with the Defence Industry Policy Statement in 2016 to foster innovation through closer collaboration between Defence, academia, industry and publically funded research organisations to jointly develop leap-ahead innovation and commercialisation opportunities. <br/><br/>The NGTF uses a number of collaboration mechanisms to deliver on its objective",Unknown,Australia,0.04265402843601896,0.85,0.75,,0,-1,Medium,0.705
OECD,IMEC CORE FUNDING,Economic,General Public,0.0,0.0,0.0,0.0,0.0,3,1984.0,0,0,1,0,1,1,"Imec performs world-leading research in the field of nano-electronics and nano-technology. This research includes digital components, organic electronics or scaling-driven nano-electronics and is applied in healthcare, smart electronics, sustainable energy and transport.",Unknown,Belgium,0.04265402843601896,0.85,0.75,,0,1,Medium,0.69
OECD,IMEC CORE FUNDING,Economic,General Public,0.0,0.0,0.0,0.0,0.0,3,1984.0,0,0,1,0,1,1,"Imec performs world-leading research in the field of nano-electronics and nano-technology. This research includes digital components, organic electronics or scaling-driven nano-electronics and is applied in healthcare, smart electronics, sustainable energy and transport.",Unknown,Belgium,0.04265402843601896,0.85,0.75,,0,1,Medium,0.69
OECD,R&D PROJECTS (EXPERIMENTAL DEVELOPMENT),Other,General Public,0.0,0.0,0.0,0.0,0.0,4,1986.0,0,0,0,1,0,0,"Experimental development may be defined as the activity which targets the application of the results of industrial research in the form of prototype products, processes, or services, which may not be used for commercial purposes before the end of the project.",Unknown,Belgium,0.5418641390205371,0.5,0.5,,3,1,Medium,0.47983333333333333
OECD,R&D PROJECTS (EXPERIMENTAL DEVELOPMENT),Other,General Public,0.0,0.0,0.0,0.0,0.0,4,1986.0,0,0,0,1,0,0,"Experimental development may be defined as the activity which targets the application of the results of industrial research in the form of prototype products, processes, or services, which may not be used for commercial purposes before the end of the project.",Unknown,Belgium,0.5418641390205371,0.5,0.5,,3,1,Medium,0.47983333333333333
OECD,HIGH PERFORMANCE COMPUTING INFRASTRUCTURE PROJECT,Other,General Public,0.0,0.0,0.0,0.0,0.0,5,2012.0,0,1,0,0,1,1,"Supercomputer ""Fugaku"" as a central core, construct high-speed network among universities and public research sectors for various uses.",Unknown,Japan,0.5418641390205371,0.5,0.5,,3,1,High,0.5003333333333333
OECD,HIGH PERFORMANCE COMPUTING INFRASTRUCTURE PROJECT,Other,General Public,0.0,0.0,0.0,0.0,0.0,5,2012.0,0,1,0,0,1,1,"Supercomputer ""Fugaku"" as a central core, construct high-speed network among universities and public research sectors for various uses.",Unknown,Japan,0.5418641390205371,0.5,0.5,,3,1,High,0.5003333333333333
OECD,HIGH PERFORMANCE COMPUTING INFRASTRUCTURE PROJECT,Other,General Public,0.0,0.0,0.0,0.0,0.0,5,2012.0,0,1,0,0,1,1,"Supercomputer ""Fugaku"" as a central core, construct high-speed network among universities and public research sectors for various uses.",Unknown,Japan,0.5418641390205371,0.5,0.5,,3,1,High,0.5003333333333333
OECD,ADVANCED INTEGRATED INTELLIGENCE PLATFORM PROJECT,Other,General Public,0.0,0.0,0.0,0.0,0.0,5,2016.0,0,0,1,0,1,0,To gather top researchers and promote R&D for innovative fundamental technology and also promote implementation.,Unknown,Japan,0.5418641390205371,0.5,0.5,,3,1,Medium,0.7878333333333333
OECD,ADVANCED INTEGRATED INTELLIGENCE PLATFORM PROJECT,Other,General Public,0.0,0.0,0.0,0.0,0.0,5,2016.0,0,0,1,0,1,0,To gather top researchers and promote R&D for innovative fundamental technology and also promote implementation.,Unknown,Japan,0.5418641390205371,0.5,0.5,,3,1,Medium,0.7878333333333333
OECD,IBM WATSON AI PILOT,Other,Business,0.0,0.0,0.0,0.0,0.0,4,2018.0,0,0,0,0,1,0,"Argentina is testing the IBM AI Platform, using an Aquaculture project, to evaluate AI technology and formally incorporate this platform into the Ministry of Science, Technology and Productive Innovation.",Unknown,Argentina,0.5418641390205371,0.5,0.5,,3,0,Medium,0.7386666666666667
OECD,IBM WATSON AI PILOT,Other,Business,0.0,0.0,0.0,0.0,0.0,4,2018.0,0,0,0,0,1,0,"Argentina is testing the IBM AI Platform, using an Aquaculture project, to evaluate AI technology and formally incorporate this platform into the Ministry of Science, Technology and Productive Innovation.",Unknown,Argentina,0.5418641390205371,0.5,0.5,,3,0,Medium,0.7386666666666667
OECD,PLATTFORM LERNENDE SYSTEME - GERMANY'S PLATFORM FOR AI,Other,Business,0.0,0.0,0.0,0.0,0.0,8,2017.0,0,0,0,0,1,1,"The Plattform Lernende Systeme brings together expertise from science, industry and society for fostering Germany‘s position as an international leader in AI technology. It understands itself as a forum for exchange and cooperation between relevant stakeholders.",Unknown,Germany,0.5418641390205371,0.5,0.5,,3,0,Medium,0.6811666666666667
OECD,FUNDING INITIATIVES ON AI AND MACHINE LEARNING,Economic,General Public,0.0,0.0,0.0,0.0,0.0,7,2017.0,1,0,1,0,1,0,The initiatives support the development of technologies for AI and automated data analysis.,Unknown,Germany,0.04265402843601896,0.85,0.75,,0,1,Medium,0.715
OECD,FUNDING INITIATIVES ON AI AND MACHINE LEARNING,Economic,General Public,0.0,0.0,0.0,0.0,0.0,7,2017.0,1,0,1,0,1,0,The initiatives support the development of technologies for AI and automated data analysis.,Unknown,Germany,0.04265402843601896,0.85,0.75,,0,1,Medium,0.715
OECD,FUNDING INITIATIVES ON AI AND MACHINE LEARNING,Economic,General Public,0.0,0.0,0.0,0.0,0.0,7,2017.0,1,0,1,0,1,0,The initiatives support the development of technologies for AI and automated data analysis.,Unknown,Germany,0.04265402843601896,0.85,0.75,,0,1,Medium,0.715
OECD,Masters in Artificial Intelligence,Other,"Education, Business",0.0,0.0,0.0,0.0,0.0,4,2014.0,0,0,0,0,0,0,The faculty of ICT of the University of Malta has launched a Master programme in Artificial Intelligence to support the growing ICT industry in Malta.,Unknown,Malta,0.5418641390205371,0.5,0.5,,3,-1,Medium,0.6945
OECD,Masters in Artificial Intelligence,Other,"Education, Business",0.0,0.0,0.0,0.0,0.0,4,2014.0,0,0,0,0,0,0,The faculty of ICT of the University of Malta has launched a Master programme in Artificial Intelligence to support the growing ICT industry in Malta.,Unknown,Malta,0.5418641390205371,0.5,0.5,,3,-1,Medium,0.6945
OECD,LUXEMBOURG FUTURE FUND,Economic,General Public,0.0,0.0,0.0,0.0,0.0,3,2016.0,0,0,1,0,0,0,Investment and co-investment fund targeting innovative SMEs.,Unknown,Luxembourg,0.04265402843601896,0.85,0.75,,0,1,Medium,0.8066666666666665
OECD,INDUSTRIAL STRATEGY: BUILDING A BRITAIN FIT FOR THE FUTURE (WHITE PAPER),Other,Government,0.0,0.0,0.0,0.0,0.0,11,2017.0,0,0,0,0,1,0,This document sets out the UK Government’s plan to create an economy that boosts productivity and earning power throughout the UK.,Unknown,United Kingdom,0.5418641390205371,0.5,0.5,,3,2,Medium,0.7241666666666666
OECD,INDUSTRIAL STRATEGY CHALLENGE FUND,Economic,Business,0.0,0.0,0.0,0.0,0.0,4,2017.0,0,0,1,0,0,0,"ISCF supports mission-led funding across the R&D life cycle, bringing together the UK’s world leading research with business to meet the major industrial and societal challenges of our time.",Unknown,United Kingdom,0.04265402843601896,0.85,0.75,,0,0,Medium,0.8466666666666666
OECD,INDUSTRIAL STRATEGY CHALLENGE FUND,Economic,Business,0.0,0.0,0.0,0.0,0.0,4,2017.0,0,0,1,0,0,0,"ISCF supports mission-led funding across the R&D life cycle, bringing together the UK’s world leading research with business to meet the major industrial and societal challenges of our time.",Unknown,United Kingdom,0.04265402843601896,0.85,0.75,,0,0,Medium,0.8466666666666666
OECD,AI REVIEW: GROWING THE AI INDUSTRY IN THE UK,Other,"Business, Government",0.0,0.0,0.0,0.0,0.0,9,2017.0,0,0,0,0,1,0,The UK government responded to the independent AI review by Dame Wendy Hall and Jerome Pesenti through the 2017 Industrial Strategy White Paper (27/11/17) and 2018 AI Sector Deal (26/04/18).,Unknown,United Kingdom,0.5418641390205371,0.5,0.5,,3,-1,Medium,0.6811666666666667
OECD,AI REVIEW: GROWING THE AI INDUSTRY IN THE UK,Other,"Business, Government",0.0,0.0,0.0,0.0,0.0,9,2017.0,0,0,0,0,1,0,The UK government responded to the independent AI review by Dame Wendy Hall and Jerome Pesenti through the 2017 Industrial Strategy White Paper (27/11/17) and 2018 AI Sector Deal (26/04/18).,Unknown,United Kingdom,0.5418641390205371,0.5,0.5,,3,-1,Medium,0.6811666666666667
OECD,R&D COMPETITIVENESS AND EXCELLENCE CO-OPERATION PROGRAMMES,Other,General Public,0.0,0.0,0.0,0.0,0.0,6,2015.0,0,0,0,1,0,0,The programme supports the solution of major and complex tasks and the achievement of R&D and innovation results in several areas of expertise in the cooperation of the most outstanding actors in the field.,Unknown,Hungary,0.5418641390205371,0.5,0.5,,3,1,Medium,0.5636666666666666
OECD,R&D COMPETITIVENESS AND EXCELLENCE CO-OPERATION PROGRAMMES,Other,General Public,0.0,0.0,0.0,0.0,0.0,6,2015.0,0,0,0,1,0,0,The programme supports the solution of major and complex tasks and the achievement of R&D and innovation results in several areas of expertise in the cooperation of the most outstanding actors in the field.,Unknown,Hungary,0.5418641390205371,0.5,0.5,,3,1,Medium,0.5636666666666666
OECD,HELLENIC NATIONAL BIOETHICS COMMISSION,Other,General Public,0.0,0.0,0.0,0.0,0.0,4,2002.0,0,0,0,1,0,1,The Commission is an independent advisory body of experts advising public authorities either on its own initiative or upon request. Its mission is to highlight the interaction of life sciences and contemporary social values.,Unknown,Greece,0.5418641390205371,0.5,0.5,,3,1,Medium,0.47983333333333333
OECD,FRANCE AI,Other,General Public,0.0,0.0,0.0,0.0,0.0,2,2017.0,0,0,0,0,1,0,A national report was published in March 2017.,Unknown,France,0.5418641390205371,0.5,0.5,,3,1,High,0.7456666666666666
OECD,FRANCE AI,Other,General Public,0.0,0.0,0.0,0.0,0.0,2,2017.0,0,0,0,0,1,0,A national report was published in March 2017.,Unknown,France,0.5418641390205371,0.5,0.5,,3,1,High,0.7456666666666666
OECD,SOFTWARE CENTRE,Other,General Public,0.0,0.0,0.0,0.0,0.0,2,,0,0,0,0,1,0,Creation of the Software Centre by the National Institute of Telecommunication in Rabat Technopark. It is specialized in R&D and innovation in information and communication technologies (ICT).,Unknown,Morocco,0.5418641390205371,0.5,0.5,,3,1,High,0.7456666666666666
OECD,STRATEGY FOR CONNECTED INDUSTRY 4.0,Other,Business,0.0,0.0,0.0,0.0,0.0,5,2015.0,0,0,0,0,1,0,"The Connected Industry 4.0 strategy is Spain’s response to increasingly globalised, demanding and competitive markets. Altogether, eight core challenges and competitive requirements of Industry 4.0 are defined, where digital enablers play a vital role, e.g. optimisation of supply chains, flexibility and efficiency of production means, etc.",Unknown,Spain,0.5418641390205371,0.5,0.5,,3,0,Medium,0.7786666666666667
